name,origin,destination,count
ALEX MANENTE,BSB,BSB,5
RENZO BRAZ,BSB,SDU,1
ADILTON SACHETTI,CGB,GRU,1
WALDENOR PEREIRA,SSA,VDC,12
JOSÉ REINALDO,BSB,GRU,1
WOLNEY QUEIROZ,BSB,BSB,10
WELLINGTON ROBERTO,CGH,BSB,2
CABO SABINO,JDO,FOR,1
EZEQUIEL TEIXEIRA,BSB,BSB,3
JOÃO DANIEL,BSB,AJU,23
ELMAR NASCIMENTO,SSA,BSB,5
JOAQUIM PASSARINHO,MAB,BEL,1
SUBTENENTE GONZAGA,SDU,CNF,1
LEONARDO QUINTÃO,CNF,VCP,1
VALTENIR PEREIRA,CGB,BSB,19
DAMIÃO FELICIANO,GRU,JPA,2
OSMAR BERTOLDI,BSB,CGH,1
ZÉ SILVA,UDI,BSB,1
FELIPE BORNIER,BSB,PMW,2
SÉRGIO MORAES,CGH,POA,2
EVANDRO ROMAN,BSB,CGH,3
ANDRÉ FUFUCA,SLZ,GIG,1
CARLOS SAMPAIO,CGH,BSB,2
ALEX MANENTE,CGH,BSB,35
MÁRCIO MARINHO,CNF,BSB,1
ROBERTO ALVES,CGH,CNF,1
VICENTE ARRUDA,BSB,BSB,5
LEONARDO MONTEIRO,BSB,CGH,1
RÔMULO GOUVEIA,BSB,JPA,11
SÉRGIO MORAES,BSB,POA,11
CARLOS SAMPAIO,BSB,BSB,10
FRANCISCO CHAPADINHA,BEL,STM,3
ZENAIDE MAIA,BSB,BSB,3
REINHOLD STEPHANES,GIG,BSB,1
FRANKLIN,BSB,GRU,3
DELEGADO FRANCISCHINI,BSB,BSB,4
LÁZARO BOTELHO,PMW,AUX,4
ENIO VERRI,CGH,MGF,1
RUBENS PEREIRA JÚNIOR,SLZ,BSB,3
RUBENS BUENO,CWB,BSB,20
NILTON CAPIXABA,CGB,OAL,7
LUIZ CARLOS RAMOS,BSB,SDU,1
VALDIR COLATTO,FLN,CGH,1
VALTENIR PEREIRA,BSB,PMW,1
WELLINGTON ROBERTO,BSB,BSB,10
PAULO PIMENTA,BSB,BSB,2
EVANDRO ROMAN,CWB,BSB,4
STEFANO AGUIAR,BSB,CNF,18
BRUNA FURLAN,CGH,BSB,16
INDIO DA COSTA,BSB,BSB,1
TEREZA CRISTINA,BSB,BSB,3
DANRLEI DE DEUS HINTERHOLZ,BSB,BSB,3
WLADIMIR COSTA,BSB,BEL,8
TIRIRICA,BSB,BSB,1
MARINHA RAUPP,BSB,PVH,2
JHONATAN DE JESUS,BSB,CGH,4
NELSON NAHIM,GIG,BSB,1
JOÃO ARRUDA,BSB,BSB,6
DILCEU SPERAFICO,THE,BSB,1
CARLOS ANDRADE,MAO,BSB,2
FÁBIO RAMALHO,CGH,CNF,2
ZÉ SILVA,MOC,CNF,2
JOÃO CAMPOS,BSB,GYN,2
LELO COIMBRA,BSB,BSB,2
ESPERIDIÃO AMIN,BSB,GRU,1
RONALDO CARLETTO,BSB,CNF,1
LUIZ NISHIMORI,CWB,MGF,3
RUBENS PEREIRA JÚNIOR,BSB,SLZ,3
ROCHA,RBR,BSB,9
RODRIGO PACHECO,BSB,CNF,10
MANDETTA,FLN,SDU,2
MARIA DO ROSÁRIO,BSB,POA,6
AFONSO HAMM,BSB,BSB,3
DAVIDSON MAGALHÃES,BSB,IOS,2
JOÃO CARLOS BACELAR,SSA,BSB,12
ADELMO CARNEIRO LEÃO,CNF,BSB,5
EVANDRO GUSSI,BSB,CNF,1
PAULO TEIXEIRA,sp,bsb,1
JORGE BOEIRA,XAP,FLN,1
GIVALDO CARIMBÃO,IOS,BSB,1
GABRIEL GUIMARÃES,BSB,MOC,1
GIACOBO,BSB,BSB,5
ALICE PORTUGAL,GRU,SSA,1
ALICE PORTUGAL,SSA,GRU,2
GONZAGA PATRIOTA,REC,BSB,8
JOAQUIM PASSARINHO,BSB,MAB,1
MARIA HELENA,GRU,BSB,1
GIVALDO CARIMBÃO,BSB,STM,1
GIVALDO CARIMBÃO,BSB,BSB,7
ESPERIDIÃO AMIN,FLN,BSB,25
WILSON FILHO,BSB,JPA,5
ANA PERUGINI,PPB,VCP,2
MÁRCIO MARINHO,CNF,SSA,1
TEREZA CRISTINA,CGH,BSB,3
PROFESSORA DORINHA SEABRA REZENDE,BSB,PMW,22
SÁGUAS MORAES,BSB,CGH,1
TIRIRICA,CGH,BSB,3
SÁGUAS MORAES,BSB,CGB,7
ZECA DIRCEU,CGH,CWB,2
CHICO ALENCAR,BSB,BSB,2
GUILHERME COELHO,BSB,VCP,1
NILTON CAPIXABA,BSB,CGB,7
LUIZ SÉRGIO,SDU,CGH,1
CACÁ LEÃO,BSB,CGH,2
LEOPOLDO MEYER,BSB,CWB,3
HERMES PARCIANELLO,BSB,IGU,1
ROSANGELA GOMES,GIG,BSB,11
SÉRGIO MORAES,BSB,PFB,1
JOÃO CARLOS BACELAR,SSA,BPS,1
VAIDON OLIVEIRA,BSB,BSB,2
JOÃO FERNANDO COUTINHO,BSB,JDO,1
LEONARDO MONTEIRO,CGH,CNF,1
ANTÔNIO JÁCOME,CAC,GRU,1
AGUINALDO RIBEIRO,CGH,JPA,1
BETO ROSADO,NAT,BSB,9
RAQUEL MUNIZ,BSB,MOC,9
DR. JORGE SILVA,VIX,BSB,15
JÉSSICA SALES,GIG,BSB,1
JOÃO CARLOS BACELAR,SDU,CGH,2
JUNIOR MARRECA,CGH,BSB,1
DOMINGOS SÁVIO,BSB,CNF,11
MARINHA RAUPP,CGB,BSB,1
LUIZ CLÁUDIO,BSB,CGB,1
ALEXANDRE VALLE,GIG,BSB,9
EDUARDO BOLSONARO,JPA-CGH,1
ANGELIM,RBR,BSB,16
FÁBIO FARIA,BSB,NAT,5
JOÃO RODRIGUES,FLN,BSB,7
GIACOBO,CWB,BSB,5
IVAN VALENTE,CGH,REC,1
GEOVANIA DE SÁ,BSB,JJG,1
GIACOBO,CGH,BSB,1
LUIZ CLÁUDIO,CGB,OAL,1
EVANDRO GUSSI,BSB,CGH,3
DAMIÃO FELICIANO,JPA,FOR,2
ALCEU MOREIRA,POA,BSB,8
ALBERTO FRAGA,bsb,Aju,1
ANDRÉ ABDON,MCP,BEL,1
PEPE VARGAS,BSB,POA,3
ALFREDO KAEFER,GRU,BSB,1
FRANKLIN,VCP,REC,1
CABO DACIOLO,SDU,BSB,3
PAES LANDIM,SSA,PHB,1
GEORGE HILTON,SDU,VAG,1
DANILO FORTE,FOR,JDO,4
MAURO PEREIRA,BSB,BSB,2
CAETANO,SSA,IOS,3
WILSON FILHO,BSB,JDO,1
HUGO LEAL,SDU,BSB,10
MAURO MARIANI,CGH,CWB,1
PAULO TEIXEIRA,BSB,BSB,3
CHICO D'ANGELO,BSB,SDU,8
DAGOBERTO NOGUEIRA,CGR,CGH,1
MARIA DO ROSÁRIO,CGH,POA,4
PAULO MALUF,CGH,BSB,3
ROSINHA DA ADEFAL,THE,POA,1
EZEQUIEL FONSECA,BSB,CGB,11
NELSON MARQUEZELLI,BSB,RAO,1
FÁBIO RAMALHO,BSB,CNF,11
JOÃO CAMPOS,BSB,GRU,1
FRANKLIN,CNF,CGH,3
ZECA DIRCEU,CWB,CAC,6
JOSÉ FOGAÇA,BSB,POA,11
AGUINALDO RIBEIRO,BSB,BSB,9
GONZAGA PATRIOTA,BSB,JDO,1
CARLOS MELLES,RAO,BSB,8
LUIS TIBÉ,CNF,AAX,1
CÉSAR MESSIAS,BSB,SDU,2
BALEIA ROSSI,SDU,RAO,1
CARLOS SAMPAIO,NAT,VCP,1
RICARDO IZAR,BSB,VCP,1
ANTÔNIO JÁCOME,GRU,NAT,2
GABRIEL GUIMARÃES,GRU,BSB,1
GUILHERME COELHO,GRU,THE,1
HERCULANO PASSOS,BSB,VCP,5
ROBERTO SALES,bsb,gig,1
LAERCIO OLIVEIRA,GIG,AJU,1
SHÉRIDAN,MAO,BSB,1
LUIZ CARLOS HAULY,CWB,GRU,2
DÉCIO LIMA,BSB,FLN,13
LUIZ LAURO FILHO,BSB,RAO,1
ANDRÉ ABDON,BSB,BSB,1
OTAVIO LEITE,BSB,SDU,3
BETO FARO,BSB,BSB,1
RODRIGO DE CASTRO,GRU,CGR,1
HERMES PARCIANELLO,Igu-Bsb,1
RUBENS PEREIRA JÚNIOR,BSB,BEL,1
LAERCIO OLIVEIRA,AJU,BSB,14
YEDA CRUSIUS,CGH,POA,1
JOÃO PAULO PAPA,SDU,BSB,1
RUBENS PEREIRA JÚNIOR,THE,BSB,1
CARLOS GOMES,BSB,BSB,3
WALDENOR PEREIRA,BSB,SSA,13
CAJAR NARDES,BSB,NVT,1
CACÁ LEÃO,BSB,BSB,9
HEITOR SCHUCH,POA,BSB,8
LEONARDO QUINTÃO,VCP,BSB,1
WELLINGTON ROBERTO,BSB,SDU,2
RENZO BRAZ,BSB,BSB,4
GUILHERME COELHO,JDO,BSB,2
EZEQUIEL FONSECA,OPS,CGB,2
WLADIMIR COSTA,BSB,BSB,1
JUNIOR MARRECA,BSB,SLZ,3
RONALDO LESSA,MCZ,BSB,5
EVANDRO ROMAN,CGH,CWB,1
CARLOS SAMPAIO,BSB,SDU,1
FLAVIANO MELO,BSB,CGH,1
EVANDRO ROMAN,BSB,CWB,1
ALFREDO KAEFER,BSB,VCP,1
CACÁ LEÃO,CGH,BSB,1
IRAJÁ ABREU,JPA,BSB,1
SERGIO SOUZA,GRU,CWB,1
EDMILSON RODRIGUES,BSB,FOR,1
LUIZ SÉRGIO,SDU,BSB,23
LOBBE NETO,VCP,BSB,3
PAULO ABI-ACKEL,SDU,SDU,1
ANTÔNIO JÁCOME,BPS,NAT,2
ZÉ CARLOS,SLZ,BSB,8
PAULO MALUF,BSB,CGH,16
JOAQUIM PASSARINHO,MAB,BSB,1
JOSÉ MENTOR,BSB,CNF,1
DAMIÃO FELICIANO,BSB,CGH,1
BETO ROSADO,FOR,BSB,1
TIRIRICA,BSB,SDU,2
CARMEN ZANOTTO,FLN,BSB,10
CARLOS MELLES,PSW,PLU,1
DELEGADO FRANCISCHINI,BSB,SDU,2
ANDRÉ AMARAL,JPA,BSB,7
BENITO GAMA,GIG,SSA,1
DELEGADO EDSON MOREIRA,CNF,UDI,1
SILAS CÂMARA,BSB,BSB,6
CACÁ LEÃO,BSB,SSA,22
JORGINHO MELLO,BSB,FLN,5
EFRAIM FILHO,JPA,CGH,1
CHICO ALENCAR,BSB,SDU,12
JOSÉ CARLOS ALELUIA,BSB,BSB,3
WALTER ALVES,BSB,NAT,13
CELSO RUSSOMANNO,GRU,MVD,1
LUIZ SÉRGIO,BSB,GIG,6
POLLYANA GAMA,BSB,CGH,1
ZECA DIRCEU,GRU,BSB,2
ADALBERTO CAVALCANTI,BSB,BSB,1
GIACOBO,BSB,CGH,1
MARINALDO ROSENDO,BEL,BSB,2
OSMAR BERTOLDI,BSB,BSB,7
EVANDRO GUSSI,MII,BSB,3
LUIZ COUTO,CNF,BSB,1
MARGARIDA SALOMÃO,CNF,BSB,3
GUILHERME MUSSI,CGH,BSB,11
NILSON LEITÃO,BSB,VCP,1
WELLINGTON ROBERTO,CGH,JPA,2
BETO ROSADO,NAT,CGH,1
GEORGE HILTON,CNF,MOC,1
VICENTINHO,VCP,PPB,1
GUILHERME MUSSI,BSB,BSB,13
WELLINGTON ROBERTO,BSB,JPA,9
CLAUDIO CAJADO,SSA,BSB,13
DÉCIO LIMA,CGH,NVT,1
MARCOS SOARES,BSB,BSB,6
ANDRÉ AMARAL,THE,REC,1
GEORGE HILTON,GVR,CNF,1
PAES LANDIM,VCP,PHB,1
ROSANGELA GOMES,BSB,GIG,11
WALDENOR PEREIRA,BSB,BSB,1
CARLOS MELLES,RAO,CNF,2
JOSÉ CARLOS ALELUIA,BSB,SSA,6
VALMIR ASSUNÇÃO,FOR,BSB,1
ZÉ GERALDO,BSB,BEL,12
WLADIMIR COSTA,BSB,STM,1
DR. JORGE SILVA,CGH,BSB,2
RUBENS BUENO,BSB,BSB,6
NELSON PADOVANI,LDB,CWB,1
JORGE BOEIRA,POA,CGH,1
SILAS FREIRE,BSB,BSB,9
IRAJÁ ABREU,GYN,PMW,4
JOSÉ AIRTON CIRILO,BSB,THE,1
ZÉ CARLOS,BSB,SLZ,15
MARGARIDA SALOMÃO,CNF,SSA,1
ALEX MANENTE,BSB,CGH,36
ALEXANDRE VALLE,BSB,GIG,13
PR. MARCO FELICIANO,BSB,CGH,5
CARLOS MANATO,BSB,BSB,6
LEONARDO MONTEIRO,BSB,CNF,9
PAUDERNEY AVELINO,BSB,MAO,13
ANDRÉ ABDON,MCP,BSB,7
SILAS FREIRE,THE,BSB,17
VALMIR ASSUNÇÃO,FOR,SSA,1
JOÃO GUALBERTO,SSA,BSB,1
TIA ERON,BSB,BEL,1
FRANKLIN,CNF,BSB,7
GEORGE HILTON,BSB,IZA,1
PAULO FEIJÓ,SDU,BSB,14
IVAN VALENTE,REC,BSB,1
ADAIL CARNEIRO,BSB,MCZ,2
WILSON FILHO,PMW,BSB,1
WALDENOR PEREIRA,VDC,BSB,1
WILSON FILHO,FOR,NAT,1
ADÉRMIS MARINI,GRU,BSB,1
FELIPE BORNIER,FOR,BSB,1
LUIZ LAURO FILHO,VCP,BSB,8
MARCELO CASTRO,THE,BSB,16
EDUARDO BARBOSA,CNF,MOC,1
PAULO TEIXEIRA,CGH,CWB,1
ARLINDO CHINAGLIA,SSA,CGH,2
BETO FARO,BSB,CGH,1
ZÉ SILVA,GRU,BSB,1
CABO DACIOLO,BSB,GIG,16
ALFREDO KAEFER,GRU,CAC,1
JOÃO DERLY,MAO,BSB,1
ROGÉRIO MARINHO,BSB,NAT,11
AELTON FREITAS,BSB,UDI,3
JOSÉ GUIMARÃES,FOR,JDO,12
CREUZA PEREIRA,JDO,REC,2
SERGIO SOUZA,CGH,MGF,1
DIMAS FABIANO,SDU,BSB,3
GONZAGA PATRIOTA,BSB,IOS,1
LUANA COSTA,SLZ,BSB,10
WALDENOR PEREIRA,VDC,SSA,19
ANTONIO CARLOS MENDES THAME,BSB,VCP,12
HUGO LEAL,CNF,SDU,1
PADRE JOÃO,BSB,MOC,1
MARGARIDA SALOMÃO,CGH,GIG,1
RUBENS PEREIRA JÚNIOR,BSB,BSB,4
EVAIR VIEIRA DE MELO,BSB,BSB,4
DANILO FORTE,FOR,REC,1
POMPEO DE MATTOS,POA,BSB,13
DANIEL ALMEIDA,SSA,CGH,1
MARINHA RAUPP,BSB,GIG,1
PEDRO VILELA,SDU,BSB,2
WILSON BESERRA,BSB,SDU,7
JUNIOR MARRECA,BSB,SSA,1
PASTOR LUCIANO BRAGA,GIG,SSA,1
PEDRO UCZAI,XAP,BSB,10
JOSÉ GUIMARÃES,GRU,FOR,2
NORMA AYUB,BSB,VIX,13
HUGO LEAL,BSB,GIG,1
FRANCISCO FLORIANO,SDU,CGH,3
MARINALDO ROSENDO,MCZ,BSB,1
ODORICO MONTEIRO,GIG,VCP,1
ZECA DIRCEU,BSB,CWB,13
EVANDRO GUSSI,BSB,BSB,4
CHICO D'ANGELO,BSB,BSB,9
MARINALDO ROSENDO,BEL,SLZ,2
CÉSAR HALUM,BSB,PMW,3
FELIPE BORNIER,BSB,GIG,9
ROSINHA DA ADEFAL,GRU,MCZ,2
ROBINSON ALMEIDA,BSB,SSA,8
MARCELO CASTRO,BSB,BSB,54
CLAUDIO CAJADO,BSB,GRU,1
JUNIOR MARRECA,SLZ,BSB,3
RODRIGO PACHECO,BSB,BSB,9
ARTHUR VIRGÍLIO BISNETO,BVB,BSB,1
NILSON PINTO,BSB,BEL,2
OSMAR BERTOLDI,CWB,BSB,6
CARLOS MARUN,BSB,POA,3
MARCO TEBALDI,FLN,BSB,5
ORLANDO SILVA,GRU,BSB,1
SABINO CASTELO BRANCO,BSB,MAO,9
WILSON FILHO,BSB,REC,1
LEONARDO MONTEIRO,GVR,CNF,4
LUANA COSTA,BSB,SLZ,7
ODORICO MONTEIRO,FOR,BSB,13
AGUINALDO RIBEIRO,CGH,BSB,5
GONZAGA PATRIOTA,BSB,REC,8
JUSCELINO FILHO,SLZ,BSB,6
LÁZARO BOTELHO,PMW,BSB,14
ORLANDO SILVA,SSA,GRU,1
ZÉ SILVA,BSB,UDI,1
EFRAIM FILHO,BSB,JPA,5
HUGO MOTTA,BSB,JPA,3
LOURIVAL GOMES,SDU,BSB,6
FELIPE MAIA,BSB,NAT,5
ANDRÉ AMARAL,SSA,BSB,2
JEAN WYLLYS,SDU,CGH,1
JEFFERSON CAMPOS,VCP,BSB,6
LOURIVAL GOMES,GIG,BSB,4
ZÉ CARLOS,BSB,BSB,11
CACÁ LEÃO,CGH,SSA,3
RICARDO BENTINHO,SJP,VCP,1
GIACOBO,CWB,CAC,2
YEDA CRUSIUS,BSB,POA,2
MARIA HELENA,BVB,BSB,6
SORAYA SANTOS,GRU,BSB,3
MARCUS VICENTE,BSB,VIX,17
TADEU ALENCAR,JDO,REC,1
LAURA CARNEIRO,GIG,BSB,15
ARTHUR VIRGÍLIO BISNETO,BSB,MAO,6
EDIO LOPES,BSB,BSB,8
LEO DE BRITO,BSB,CGH,1
ROSINHA DA ADEFAL,MCZ,THE,1
ASSIS CARVALHO,BSB,THE,4
DIEGO ANDRADE,CNF,BSB,13
EDIO LOPES,CGH,BSB,1
BRUNNY,CNF,BSB,2
JORGE SOLLA,BSB,GRU,1
ANDRES SANCHEZ,CGH,PMW,1
DOMINGOS NETO,FOR,BSB,19
ALESSANDRO MOLON,BSB,CGH,7
ANDRES SANCHEZ,PMW,BSB,1
ADILTON SACHETTI,BSB,THE,1
JOSÉ AIRTON CIRILO,BSB,BSB,8
LUIS CARLOS HEINZE,BSB,BSB,7
WALDIR MARANHÃO,THE,BSB,2
VINICIUS GURGEL,CGH,BSB,1
JOSÉ ROCHA,RJ,SSA,1
LAURA CARNEIRO,BSB,GIG,3
HÉLIO LEITE,SDU,BSB,1
GENECIAS NORONHA,BSB,CGH,1
CARLOS GOMES,POA,BSB,8
LUIZ SÉRGIO,GIG,BSB,9
ELIZIANE GAMA,IMP,BSB,2
DILCEU SPERAFICO,CAC,BSB,3
LINCOLN PORTELA,CNF,BSB,10
JORGE CÔRTE REAL,BSB,CGH,8
RONALDO MARTINS,THE,FOR,1
ARNALDO JORDY,BSB,MAB,1
ALBERTO FRAGA,BSB,AJU,1
PATRUS ANANIAS,BSB,CGH,1
HERCULANO PASSOS,SJP,VCP,1
ALICE PORTUGAL,BSB,CGH,1
VALDIR COLATTO,BSB,XAP,9
EDIO LOPES,BSB,BVB,21
JÉSSICA SALES,CZS,BSB,1
AGUINALDO RIBEIRO,BSB,REC,2
GORETE PEREIRA,FOR,REC,1
ANGELIM,BSB,RBR,17
JOSÉ FOGAÇA,CNF,BSB,1
ROBERTO GÓES,BSB,MCP,3
PROFESSORA MARCIVANIA,BSB,BSB,2
ZÉ GERALDO,BSB,BSB,9
CARLOS MELLES,BSB,BSB,1
JOVAIR ARANTES,GYN,BSB,1
WADIH DAMOUS,SDU,BSB,14
MARINHA RAUPP,GIG,BSB,1
IRAJÁ ABREU,CGH,PMW,1
GONZAGA PATRIOTA,PNZ,BSB,7
ROGÉRIO PENINHA MENDONÇA,FLN,BSB,23
CELSO JACOB,BSB,GIG,3
IRACEMA PORTELLA,THE,BSB,2
GONZAGA PATRIOTA,PNZ,SSA,1
